threshold,thresholdSeedNSeeds,thresholdSeedRands,thresholdSeedVI,thresholdSeedFalseJoins,thresholdSeedFalseCuts,thresholdSeedBorderNSeeds,thresholdSeedBorderRands,thresholdSeedBorderVI,thresholdSeedBorderFalseJoins,thresholdSeedBorderFalseCuts,thresholdSeedBlockRadNSeeds,thresholdSeedBlockRadRands,thresholdSeedBlockRadVI,thresholdSeedBlockRadFalseJoins,thresholdSeedBlockRadFalseCuts,thresholdSeedBlockRadBorderNSeeds,thresholdSeedBlockRadBorderRands,thresholdSeedBlockRadBorderVI,thresholdSeedBlockRadBorderFalseJoins,thresholdSeedBlockRadBorderFalseCuts
,5,0.343602,2.485701,1.974548,0.511152,6,0.357605,2.593301,1.962392,0.630909
243,1739,0.366151,2.611281,1.809532,0.801750,1740,0.353385,2.523342,1.837392,0.685950,29,0.365466,2.602156,1.896944,0.705213,30,0.352287,2.523270,1.911364,0.611906
242,4221,0.368647,2.586662,1.797873,0.788788,4222,0.356715,2.506130,1.824859,0.681272,32,0.373774,2.651423,1.871189,0.780234,33,0.351980,2.535800,1.897927,0.637873
241,6545,0.370894,2.571308,1.790639,0.780669,6546,0.360184,2.500476,1.815175,0.685301,39,0.365075,2.614173,1.892658,0.721515,40,0.352146,2.532150,1.906410,0.625740
240,8733,0.372867,2.565061,1.785435,0.779625,8734,0.362717,2.497100,1.808757,0.688343,40,0.366235,2.623962,1.877517,0.746445,41,0.352114,2.535989,1.896277,0.639713
239,10830,0.374835,2.561162,1.780211,0.780951,10831,0.365440,2.499078,1.801901,0.697177,39,0.376625,2.657882,1.850629,0.807254,40,0.352076,2.526445,1.889297,0.637149
238,12881,0.376256,2.558362,1.776611,0.781751,12882,0.367404,2.500559,1.797027,0.703531,43,0.365216,2.603966,1.872881,0.731085,44,0.352524,2.527370,1.889988,0.637382
237,14866,0.377481,2.557100,1.773414,0.783685,14867,0.369417,2.505686,1.792046,0.713639,37,0.360091,2.569546,1.930804,0.638741,38,0.352108,2.546068,1.926004,0.620065
236,16761,0.378695,2.559654,1.770432,0.789222,16762,0.371282,2.513119,1.787563,0.725557,38,0.366295,2.602189,1.872909,0.729280,39,0.352764,2.521691,1.891041,0.630650
235,18482,0.380021,2.564166,1.767248,0.796917,18483,0.373225,2.521211,1.782989,0.738222,42,0.364932,2.628027,1.902845,0.725182,43,0.352278,2.546742,1.915464,0.631278
234,20192,0.381313,2.569423,1.764183,0.805240,20193,0.374867,2.529268,1.779094,0.750174,39,0.366598,2.627016,1.887238,0.739778,40,0.352668,2.540354,1.903612,0.636741
233,21769,0.382454,2.575210,1.761405,0.813805,21770,0.376407,2.537619,1.775440,0.762178,38,0.367424,2.615429,1.895639,0.719790,39,0.352970,2.527482,1.910424,0.617059
232,23302,0.383329,2.581085,1.759335,0.821750,23303,0.377618,2.545872,1.772590,0.773283,45,0.367664,2.654895,1.902918,0.751977,46,0.352895,2.559906,1.917658,0.642249
231,24888,0.384044,2.587645,1.757606,0.830039,24889,0.378566,2.553814,1.770323,0.783491,45,0.367813,2.628230,1.877282,0.750948,46,0.354383,2.547166,1.895031,0.652135
230,26392,0.384984,2.595092,1.755350,0.839741,26393,0.379727,2.562635,1.767577,0.795058,46,0.367063,2.600030,1.891385,0.708645,47,0.353390,2.520511,1.906809,0.613703
229,27814,0.386131,2.603242,1.752689,0.850553,27815,0.381051,2.572421,1.764509,0.807912,46,0.365089,2.611166,1.872769,0.738397,47,0.354363,2.545737,1.887929,0.657809
228,29245,0.387009,2.611628,1.750543,0.861085,29246,0.382188,2.582115,1.761806,0.820309,44,0.369383,2.623244,1.866376,0.756868,45,0.354125,2.535956,1.888372,0.647584
227,30646,0.387818,2.620467,1.748576,0.871891,30647,0.383292,2.592688,1.759165,0.833523,44,0.365171,2.606232,1.881035,0.725197,45,0.353930,2.538376,1.895667,0.642710
226,31958,0.388639,2.628019,1.746612,0.881407,31959,0.384328,2.602051,1.756698,0.845352,44,0.364944,2.598223,1.890531,0.707693,45,0.353647,2.532459,1.903436,0.629023
225,33295,0.389432,2.635807,1.744697,0.891111,33296,0.385349,2.611404,1.754256,0.857148,49,0.365086,2.611392,1.881525,0.729868,50,0.353729,2.539206,1.895692,0.643514
224,34557,0.390098,2.643714,1.743059,0.900655,34558,0.386212,2.620601,1.752168,0.868433,49,0.365210,2.597565,1.878463,0.719103,50,0.353505,2.529190,1.893594,0.635597
223,35800,0.390778,2.651652,1.741427,0.910225,35801,0.387114,2.629677,1.750039,0.879638,47,0.365233,2.611082,1.880734,0.730348,48,0.353583,2.540026,1.895075,0.644950
